Name,Code,Instructor,School,Department,Semester,Term,Time,Description
Senior Thesis Workshop,AFRAMER 99A,Blier,FAS,African & African Amer Studies,2019 Fall,Full Term,9:00am - 11:00am,Thesis supervision under the direction of a member of the Department. Part one of a two part series.
Senior Thesis Workshop,AFRAMER 99B,Blier,FAS,African & African Amer Studies,2020 Spring,Full Term,9:00am - 11:00am,Thesis supervision under the direction of a member of the Department. Part two of a two part series.
Autobiography and Memoir: Remembering the Self,AFRAMER 116,Kincaid,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"Close readings of classic autobiographies: Fredrick Douglas, Booker T. Washington, Thomas Jefferson, Henry Adams, Elizabeth Keckley; and contemporary memoirs by Ta Nahesi Coates, Hilton Als among others. A weekly critical paper is required; the final paper is a creative one, a short memoir."
"Chocolate, Culture, and the Politics of Food",AFRAMER 119X,Martin,FAS,African & African Amer Studies,2020 Spring,Full Term,3:00pm - 5:00pm,"This course will examine the sociohistorical legacy of chocolate, with a delicious emphasis on the eating and appreciation of the so-called ""food of the gods."" Interdisciplinary course readings will introduce the history of cacao cultivation, the present day state of the global chocolate industry, the diverse cultural constructions surrounding chocolate, and the implications for chocolate's future of scientific study, international politics, alternative trade models, and the food movement. Assig"
Afro-Latin America: History and Culture,AFRAMER 124Y,de la Fuente,FAS,African & African Amer Studies,2020 Spring,Full Term,10:00am - 12:00pm,"This course explores how African cultural expressions influenced colonial societies and later national cultures in Latin America. How did peoples of African descent shape the formation of Latin American national cultures in areas such as literature, religion, visual arts, music, dance, and cinema? Some scholars have debated whether African religious, musical, medical and communitarian practices were reproduced in the New World or whether they were creolized through fusion with other (European an"
"Mobility, Power and Politics",AFRAMER 130Y,Agbiboa,FAS,African & African Amer Studies,2020 Spring,Full Term,12:00pm - 2:45pm,"This course incorporates insights from the new mobilities paradigm in studying the linkages between movement, power and politics in the contemporary era. The course will discuss how issues of mobility are central to many lives and many organizations, and how movement intersects with the spatialization and materialization of power, difference and inequality within societies. Students will come to an understanding of how mobility, and control over mobility, both reflects and reinforces power; why"
Black Womens Voices in the #MeToo Era,AFRAMER 131Y,Chavers,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"When accepting the Oscar for Best Actress in 2015 Patricia Arquette said the following: “The truth is, right under the surface, there are huge issues that are at play that do affect women, and it’s time for all the women in America and all the men that love women and all the gay people and all the people of color that we all fought for to fight for us now.”This course examines why such statements are part of a larger and longer tradition of disappearing black women and why they"
Black Womens Voices in the #MeToo Era,AFRAMER 131Y,Chavers,FAS,African & African Amer Studies,2020 Spring,Full Term,12:00pm - 2:45pm,"When accepting the Oscar for Best Actress in 2015 Patricia Arquette said the following: “The truth is, right under the surface, there are huge issues that are at play that do affect women, and it’s time for all the women in America and all the men that love women and all the gay people and all the people of color that we all fought for to fight for us now.”This course examines why such statements are part of a larger and longer tradition of disappearing black women and why they"
African-American Political Thought: From Slavery to Black Power,AFRAMER 134,Terry,FAS,African & African Amer Studies,2020 Spring,Full Term,3:00pm - 5:00pm,"This introductory course is a survey of influential figures and primary texts in the history of African-American political thought from some of the earliest extant political writings by African-Americans in the era of chattel slavery, through the classical phase of the civil rights movement and into the black nationalist and feminist writings of the late 1960s and 1970s. Close attention will be paid to African-American intellectuals’ engagement with political debates in the U.S. and worldw"
The Key to Making It? Educational progress and barriers among black Americans,AFRAMER 158X,Rivers,FAS,African & African Amer Studies,2020 Spring,Full Term,12:00pm - 2:45pm,"This course combines the study of the historical trajectory of educational achievement among African Americans with a sociological analysis of the challenges they have faced in attaining educational equity, with a focus on the current situation. The course will review the structural barriers to educational achievement that blacks have faced at different periods in the history of the US and the cultural strengths, such as the high value placed on education, that have driven them to achieve. The p"
African Art and Religion,AFRAMER 171X,Blier,FAS,African & African Amer Studies,2019 Fall,Full Term,3:00pm - 5:45pm,"African art and architecture frequently engage, represent, connect to, or communicate with spiritual forces. A wide variety of religious beliefs, including an array of both local traditions and broader regional and global faiths such as Christianity and Islam are practiced in Africa. The arts offer us an important lens into each of these faiths."
African Religions,AFRAMER 187,Olupona,FAS,African & African Amer Studies,2019 Fall,Full Term,3:00pm - 5:45pm,"This course is a basic introduction to the history and phenomenology of traditional religions of the African peoples. Using diverse methodological and theoretical approaches, the course will explore various forms of experiences and practices that provide a deep understanding and appreciation of the sacred meaning of African existence: myth, ritual arts, and symbols selected from West, East, Central, and Southern Africa."
The Anthropology of Law: Perspectives from Africa and Elsewhere,AFRAMER 190X,Comaroff,FAS,African & African Amer Studies,2020 Spring,Full Term,1:00pm - 3:45pm,"The course will cover (i) classical readings in the field, (ii) conceptual questions focusing on the often counter-intuitive theoretical insights to be gained from the non-Western legal systems, (iii) law and colonialism, (iv) liberalism, difference, and the law in the postcolonial world, and (v) the judicialization of politics around the globe. Throughout, attention will be given to the lessons to be learned from legal anthropology for interrogating the present moment in the global north. Grade"
African American Lives in the Law,AFRAMER 191X,Higginbotham,FAS,African & African Amer Studies,2020 Spring,Full Term,12:00pm - 2:45pm,"This seminar focuses on biographical and autobiographical writings in a historical examination of the role of the individual in the American legal process. We will seek to understand how specific African Americans (as lawyers, judges, and litigants) made a difference-how their lives serve as a ""mirror to America""-and also to understand the ways personal experience informs individual perspectives on the law and justice."
Introduction to African Literary and Film Production,AFRAMER 196,Coulibaly,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"This course examines oral, written and visual texts produced in precolonial and modern-day Africa. Using a comparative and intercultural approach, the students are introduced to African canonical literature and film production that include works by Chinua Achebe, Ousmane Sembene, Chimamanda Adichie, Mariama Ba, Wanuri Kahiu, Moussa Toure, Dani Kouyate, Boubacar Boris Diop, and others. A broad selection of genres and themes are analyzed, in particular, African literary and cinema aesthetics, the"
"Literature, Society and Politics in Africa",AFRAMER 196X,Coulibaly,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"African writers have recurrently combined creative imagination and political activism, uncovering the major historical, cultural and sociopolitical issues that impact the production of African literature. Relevant to both African and African American identity concern, the course investigates the inherent relation between literature and politics through a comprehensive analysis of the theoretical constructs that sustain their emergence, including theories on colonialism and cultural alienation, p"
African Literature and the Poetics of Memory,AFRAMER 196Y,Coulibaly,FAS,African & African Amer Studies,2020 Spring,Full Term,12:00pm - 2:45pm,"Literary representations of memory and trauma in African postcolonial and contemporary literature will be the main focus of this course. In order to understand how trauma impacts individuals in their relationship with their physical world, and how in a very unique way, characters cope with their traumatic reality, we will be analyzing ""structural disorder"" and ""historical event"" narratives, including novels and short fiction by Aminata Forna, Boubacar Boris Diop, Tayeb Salih,"
"Poverty, Race, and Health",AFRAMER 197,Williams,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"This course critically examines the health status of the poor, and of African Americans and other socially disadvantaged racial and ethnic groups in the US. Attention will be focused on the patterned ways in which the health of these groups is embedded in the social, cultural, political, and economic contexts, and arrangements of US society. Topics covered include the meaning and measurement of race, the ways in which racism affects health, the historic uses of minorities in medical research, ho"
Critiquing Black Muslim Reason in the United States,AFRAMER 197X,Carter,FAS,African & African Amer Studies,2019 Fall,Full Term,6:00pm - 8:45pm,"In this seminar, we ask: What does it mean to be Black in the United States? What does it mean to be a Muslim in the United States? What happens when these two identities compound or collide with one another? Well, what about Black Muslim Womanhood, for example? There are scholars (Jamilah Karim) who have discussed the “triple constraints” that Black Muslim Women face as they navigate the public sphere. As well, while we directly confront questions of citizenship and belonging and wi"
"The African Diaspora: Time, Space, and Belonging",AFRAMER 197Y,Carter,FAS,African & African Amer Studies,2019 Fall,Full Term,3:00pm - 5:45pm,"This seminar examines how “diaspora” has emerged in conceptual terms and has been used to describe a specific process of becoming and belonging, particularly for people who have dispersed, or have been dispersed, into multiple spaces around the globe while at the same time maintaining a sense of connectedness (solidarity) through the circulation of homeland paraphernalia, political views, and other devices that act as connective tissue. We will review literatures that focus on transb"
Africa Rising? New African Economies/Cultures and Their Global Implications,AFRAMER 209B,Comaroff,FAS,African & African Amer Studies,2020 Spring,Full Term,Split Schedule,"In a story titled Africa Rising (2011), The Economist argued that the continent epitomizes both the ""transformative promise of [capitalist] growth"" and its bleakest dimensions. This workshop will explore Africa's changing place in the world - and the new economies, legalities, socialities, and cultural forms that have arisen there. It will also interrogate the claim that the African present is a foreshadowing of processes beginning to occur elsewhere; that, therefore, it is a produ"
Race and Ethnicity in Latin America,AFRAMER 219A,de la Fuente,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"This yearlong seminar introduces students to current questions and debates in the study of race and ethnicity in Latin America, from the colonial period to the present. Our seminar answers the call, issued by anthropologist Peter Wade (1997), to produce scholarship integrating the study of Africans and their descendants, along with indigenous peoples, as participants in shared processes of racial formation, nation making, and state building. Through the systematic comparison of several cases, th"
Race and Ethnicity in Latin America,AFRAMER 219A,de la Fuente,FAS,African & African Amer Studies,2020 Spring,Full Term,12:00pm - 2:45pm,"This yearlong seminar introduces students to current questions and debates in the study of race and ethnicity in Latin America, from the colonial period to the present. Our seminar answers the call, issued by anthropologist Peter Wade (1997), to produce scholarship integrating the study of Africans and their descendants, along with indigenous peoples, as participants in shared processes of racial formation, nation making, and state building. Through the systematic comparison of several cases, th"
Graduate Proseminar,AFRAMER 301,Morgan,FAS,African & African Amer Studies,2019 Fall,Full Term,12:00pm - 2:45pm,"Students are introduced to major themes, classic texts, and representative current work in the broad interdisciplinary field of African and African American Studies, with a focus on the Humanities (Literature, Art, Music, and Religion)."
Theory and Race in the Americas,AFRAMER 306,McCarthy,FAS,African & African Amer Studies,2019 Fall,Full Term,3:00pm - 5:45pm,"This course explores myths and theories of race that have informed the construction and development of social caste and class in the Americas.  Reading classical works on race from scholars like DuBois and Hurston to more contemporary works by scholars like Hartman and Gregory, we examine the entrenchment yet mutability of race in the context of the Americas.  Looking at both religion and the social sciences, the course explores the ways in which race was first predicated upon religiou"
Africa Rising? New African Economies/Cultures and Their Global Implications,AFRAMER 306,TBA,FAS,African & African Amer Studies,2020 Spring,Full Term,12:00pm - 2:45pm,"In a story titled Africa Rising (2011), The Economist argued that the continent epitomizes both the ""transformative promise of [capitalist] growth"" and its bleakest dimensions. This workshop will explore Africa's changing place in the world - and the new economies, legalities, socialities, and cultural forms that have arisen there. It will also interrogate the claim that the African present is a foreshadowing of processes beginning to occur elsewhere; that, therefore, it is a produ"
Individual Reading Tutorial,AFRAMER 310,TBA,FAS,African & African Amer Studies,2020 Spring,Full Term,,Allows students to work with an individual member of the faculty in a weekly tutorial.
Individual Reading Tutorial,AFRAMER 310 006,Bernstein,FAS,African & African Amer Studies,2019 Fall,Full Term,2:00pm - 4:00pm,Allows students to work with an individual member of the faculty in a weekly tutorial.
Individual Reading Tutorial,AFRAMER 310 027,Morgan,FAS,African & African Amer Studies,2019 Fall,Full Term,,Allows students to work with an individual member of the faculty in a weekly tutorial.
Individual Reading Tutorial,AFRAMER 310 028,Mugane,FAS,African & African Amer Studies,2019 Fall,Full Term,,Allows students to work with an individual member of the faculty in a weekly tutorial.
Individual Reading Tutorial,AFRAMER 310 031,Shelby,FAS,African & African Amer Studies,2019 Fall,Full Term,,Allows students to work with an individual member of the faculty in a weekly tutorial.
Individual Research,AFRAMER 390,TBA,FAS,African & African Amer Studies,2020 Spring,Full Term,,Requires students to identify and carry out a research project under the guidance of a member of the faculty. Graduate students may use this course to begin work on the research paper required for admission to candidacy.
Individual Research,AFRAMER 390 029,Olupona,FAS,African & African Amer Studies,2019 Fall,Full Term,,Requires students to identify and carry out a research project under the guidance of a member of the faculty. Graduate students may use this course to begin work on the research paper required for admission to candidacy.
Individual Research,AFRAMER 390 031,Shelby,FAS,African & African Amer Studies,2019 Fall,Full Term,,Requires students to identify and carry out a research project under the guidance of a member of the faculty. Graduate students may use this course to begin work on the research paper required for admission to candidacy.
Directed Writing,AFRAMER 391,TBA,FAS,African & African Amer Studies,2020 Spring,Full Term,,Requires students to identify a major essay and carry it out under the guidance of a member of the faculty. Graduate students may use this course to begin to work on the research paper that is a requirement of admission to candidacy.
Directed Writing,AFRAMER 391,Shelby,FAS,African & African Amer Studies,2019 Fall,Full Term,,Requires students to identify a major essay and carry it out under the guidance of a member of the faculty. Graduate students may use this course to begin to work on the research paper that is a requirement of admission to candidacy.
"Teaching, Writing, and Research",AFRAMER 392,TBA,FAS,African & African Amer Studies,2019 Fall,Dynamically Dated,,
"Teaching, Writing, and Research",AFRAMER 392,TBA,FAS,African & African Amer Studies,2020 Spring,Dynamically Dated,,
Reading and Research,AFRAMER 398,Shelby,FAS,African & African Amer Studies,2019 Fall,Full Term,,
Reading and Research,AFRAMER 398,TBA,FAS,African & African Amer Studies,2020 Spring,Full Term,,
Direction of Doctoral Dissertations,AFRAMER 399,TBA,FAS,African & African Amer Studies,2020 Spring,Full Term,,
Direction of Doctoral Dissertations,AFRAMER 399 003,Asani,FAS,African & African Amer Studies,2019 Fall,Full Term,,
Direction of Doctoral Dissertations,AFRAMER 399 031,Shelby,FAS,African & African Amer Studies,2019 Fall,Full Term,,
Elementary Afrikaans,AFRIKAAN AA,Mugane,FAS,African & African Amer Studies,2019 Fall,Full Term,,"A study of Afrikaans a major language spoken in South Africa at the Elementary level (First year part 1). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year."
Elementary Afrikaans,AFRIKAAN AB,Mugane,FAS,African & African Amer Studies,2020 Spring,Full Term,,"A study of Afrikaans a major language spoken in South Africa at the Elementary level (First year part 2). Contact hours supplemented by digital resources. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year."
Intermediate Afrikaans,AFRIKAAN BA,Mugane,FAS,African & African Amer Studies,2019 Fall,Full Term,,"A study of Afrikaans a major language spoken in South Africa at the Intermediate level (Second year part 1). Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Afrikaans BA in the Spring must note that Afrikaans BB is offered only in the Spring and must therefore wait"
Intermediate Afrikaans,AFRIKAAN BA,Mugane,FAS,African & African Amer Studies,2020 Spring,Full Term,,"A study of Afrikaans a major language spoken in South Africa at the Intermediate level (Second year part 1). Contact hours supplemented by language lab sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Afrikaans BA in the Spring must note that Afrikaans BB is offered only in the Spring and must therefore wait"
Intermediate Afrikaans,AFRIKAAN BB,Mugane,FAS,African & African Amer Studies,2020 Spring,Full Term,,"A study of Afrikaans a major language spoken in South Africa at the Intermediate level (Second year part 2). Contact hours supplemented by digital resources sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Afrikaans BA in the Spring must note that Afrikaans BB is offered only in the Spring."
Advanced Afrikaans,AFRIKAAN 101AR,Mugane,FAS,African & African Amer Studies,2019 Fall,Full Term,,"A study of Afrikaans a major language spoken in South Africa at the Advanced level in the Fall semester. As needed, successive advanced readings in Afrikaans may be taken under Afrikaans 101ar every Fall."
Advanced Afrikaans II,AFRIKAAN 101BR,Mugane,FAS,African & African Amer Studies,2020 Spring,Full Term,,"A study of Afrikaans a major language spoken in South Africa at the Advanced level in the Spring semester. As needed, successive advanced readings in Afrikaans may be taken under Afrikaans 101br every Spring."
Drawing 1: Drawing as a Visual Language,AFVS 12,Burin,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,3:00pm - 5:45pm,"A studio course to build the skills of drawing incrementally and expand students’ visual vocabulary. Drawings will be made from life, photographs and invention. Emphasis will be placed on enhancing our observational sensibilities through life drawing and the figure, focusing on all aspects of technical development, particularly the importance of line. The aim of this course is to expand drawing skills with intention and purpose."
Silkscreen,AFVS 15AR,Lemieux,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,12:00pm - 2:45pm,"For the student who is interested in the manipulation of found and original imagery. Students will create monotypes on paper and other surfaces utilizing the silkscreen process. Through slide presentations, the class will be introduced to the work of artists such as Rauschenberg and Warhol, as well as others who use the silkscreen process."
Contemporary Painting Practice: Beyond the Surface,AFVS 20,Lemieux,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,9:00am - 11:45am,"Through image presentations and readings, students will be introduced to the art movements from the 1960s to the present - POP, OP, Capitalist Realism, Neo Expressionism, New Image Painting, Figuration Libre, Junge Wilde, Transavantegarde, Neo Geo, Neo Pop, etc. Students will create paintings for critique that reflect these artists' beliefs and concerns."
One Thing Leads to Another: Introduction to Oil Painting,AFVS 22,Belzer,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,12:00pm - 5:45pm,"This studio class will introduce students to the use of oil paints as a tool for image making, with an emphasis on process over product.  Assignments will morph and evolve, one building on another, while drawing on a variety of source materials. Expanded visual acuity and an openness to experimentation will be developed as students explore the nature of oil paint and how it can be used to transform experience into art."
Introduction to Still Photography,AFVS 40A 001,Perez,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,9:00am - 11:45am,"Introduction to still photography through individual and group exercises, with an emphasis on the medium as a vehicle for expression, documentation, and personal vision. Covers necessary technical, historical, and aesthetic aspects of the medium."
Introduction to Still Photography,AFVS 40A,Perez,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,9:00am - 11:45am,"Introduction to still photography through individual and group exercises, with an emphasis on the medium as a vehicle for expression, documentation, and personal vision. Covers necessary technical, historical, and aesthetic aspects of the medium."
Introduction to Still Photography,AFVS 40A 002,Perez,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,12:00pm - 4:15pm,"Introduction to still photography through individual and group exercises, with an emphasis on the medium as a vehicle for expression, documentation, and personal vision. Covers necessary technical, historical, and aesthetic aspects of the medium."
Introduction to Still Photography,AFVS 41A,Harper,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,9:00am - 11:45am,"Introduction to still photography with an emphasis on the medium as a vehicle for expression and personal vision. Covers technical, historical, and aesthetic aspects of the medium. Class is organized around slide lectures, individual meetings, group critiques, and readings."
Introduction to Still Photography,AFVS 41A,Harper,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,3:00pm - 5:45pm,"Introduction to still photography with an emphasis on the medium as a vehicle for expression and personal vision. Covers technical, historical, and aesthetic aspects of the medium. Class is organized around slide lectures, individual meetings, group critiques, and readings."
Introduction to Still Photography: Studio Course,AFVS 42A,TBA,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,9:45am - 11:45am,"Intro to still photography through individual and group exercises, with emphasis on developing a personal vision and project through photography.  During the course we will read materials that will deepen your understanding of making images and help to strengthen your understanding of contemporary art practice.  There will be emphasis on photography as a vehicle for communicating what feels vulnerable, what is unseen, and what matters most.  This course will cover n"
Introduction to Non Fiction Filmmaking,AFVS 50A,Guzzetti,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,Split Schedule,Introductory exercises in live-action 16mm filmmaking culminating in the production of a nonfiction film as a group project in the spring term.  Part one of a two-part series.Students are required to take both parts of the course within the same academic year.
Introduction to Non Fiction Filmmaking,AFVS 50B,Guzzetti,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,Split Schedule,Introductory exercises in live-action 16mm filmmaking culminating in the production of a nonfiction film as a group project in the spring term.  Part two of a two-part series.Students are required to take both parts of the course within the same academic year.
Introduction to Video,AFVS 51A,Moss,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,Split Schedule,"A series of nonfiction projects, both individual and collaborative, designed to introduce and explore the range of expressive possibilities in digital video."
Introduction to Video,AFVS 51A,McElwee,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,9:00am - 11:45am,"A series of nonfiction projects, both individual and collaborative, designed to introduce and explore the range of expressive possibilities in digital video."
Fundamentals of Animation,AFVS 53AR,London,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,9:00am - 1:15pm,"An introduction to the possibilities of animation. Using a mixture of traditional and 2D digital tools, students will complete practical exercises which will familiarize them with basic skills and techniques. Screenings and discussions will help develop the specialized thinking needed to understand the discipline."
Fundamentals of Animation,AFVS 53AR,London,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,9:00am - 1:15pm,"An introduction to the possibilities of animation. Using a mixture of traditional and 2D digital tools, students will complete practical exercises which will familiarize them with basic skills and techniques. Screenings and discussions will help develop the specialized thinking needed to understand the discipline."
Approaching Narrative: Introduction to Filmmaking,AFVS 60X,Suwichakornpong,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,12:00pm - 2:45pm,"In this production course, students will learn the basic principles of narrative filmmaking. Different tools and filmmaking techniques, including lighting and cinematography, sound recording, and editing will be introduced to students by lecturer and invited film professionals. Classes will also consist of screenings, discussion, and critiques of student work.By the end of the course, students will be equipped with the necessary tools to produce a short film with sync sound."
On Objects: A Studio Course in Sculpture and Performance,AFVS 63,Pandian,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,1:30pm - 5:45pm,"This introductory course will investigate the contemporary status of the object through studio projects in sculpture, video and performance. Students will make things, make moving images that represent these things and make language and movement around these things in an exploration of medium, materiality and artistic persona. Work by artists such as Hollis Frampton, David Hammons, Hito Steyerl, Richard Tuttle, Lee Lozano and Mark Leckey will help introduce and guide our projects."
"Frame, Spectacle, Spectator: Video as Medium",AFVS 64F,Rodriguez,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,12:00pm - 5:45pm,"In this intro-level production course, students will be introduced to video as a time-based art form viewed within the framework of the art institution. This course will explore different modes of spectatorship (from theater, to installation, to mobile screens) and examine the spatiotemporal features of each. We will study a range of methods in which artists work critically with moving images in relation to mass media. Through screenings and readings by contemporary artists, filmmakers and theo"
"Frame, Spectacle, Spectator: Video as Medium",AFVS 64F,Rodriguez,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,1:30pm - 5:45pm,"In this intro-level production course, students will be introduced to video as a time-based art form viewed within the framework of the art institution. This course will explore different modes of spectatorship (from theater, to installation, to mobile screens) and examine the spatiotemporal features of each. We will study a range of methods in which artists work critically with moving images in relation to mass media. Through screenings and readings by contemporary artists, filmmakers and theo"
The Art of Film,AFVS 70,Rennebohm,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,10:30am - 11:45am,"An introductory course that focuses on the language of film and moving image media. It will provide the students with the analytical tools to respond both critically and creatively to moving image media, with an emphasis on close formal analysis. In the interest of exploring the vast possibilities of the moving image, we will watch a broad selection of narrative and non-narrative works from around the globe alongside canonical feature films."
Exploring Culture Through Film,AFVS 73,Kusumaryati,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,3:00pm - 5:45pm,"This course will provide an introduction to the history and theory of documentary and ethnographic film with a focus on the politics of representation and the challenges made to the canonical mainstream. We will discuss the changing paradigms of ""ethnographic"" film, situating these debates within their historical film contexts and explore how new digital media technologies effect the politics of representation. A variety of cinematic styles from essay films and new media to observation"
Loitering: Studio Course,AFVS 80,Prina,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,Split Schedule,You will hang out in the vicinity of culture and make things in response to it. This class is not thematic or linked to any particular discipline.
Malleable Forms (A Studio of The Political),AFVS 81R,Simmons,FAS,"Art, Film, and Visual Studies",2019 Fall,Full Term,12:00pm - 5:45pm,"With a focus on the American political landscape and its tentacles rooted locally and globally, this studio course prompts the construction of a wide range of works influenced by our historical and contemporary political landscape. Students will work rigorously to produce works across disciplines (sound, photography, painting, sculpture, video and performance) constructing individually and collaboratively. Students should have an ability to articulate their objectives often. This studio course w"
Malleable Forms (A Studio of The Political),AFVS 81R,Simmons,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,12:00pm - 5:00pm,"With a focus on the American political landscape and its tentacles rooted locally and globally, this studio course prompts the construction of a wide range of works influenced by our historical and contemporary political landscape. Students will work rigorously to produce works across disciplines (sound, photography, painting, sculpture, video and performance) constructing individually and collaboratively. Students should have an ability to articulate their objectives often. This studio course w"
"The Devil, Probably x 8 + 1: A Studio-based Seminar",AFVS 83,Prina,FAS,"Art, Film, and Visual Studies",2020 Spring,Full Term,Split Schedule,"Part 1 is a weekly studio session during which participants will create 3 projects in any medium or discipline during the term. Part 2 is a screening of the film ""The Devil, Probably,"" 1977 by Robert Bresson for 10 consecutive weeks, interrupted by the 3 project class presentations. Different readings will accompany each screening. The final screening--+1--is ""The Third Generation,"" 1979 by Rainer Werner Fassbinder."
